sample_id	w450	w570	Adjusted absorbance	new_sample_id	Concentration Estimate	Std. Error	Concentration Estimate (log2)	Std. Error_log2	up_log2	down_log2
312	3.104	0.05	3.0540000000000003	s_312	12991.445636120672	1358.2380264236856	13.665274356603037	10.407520613618454	13.808731312721571	13.50596132370046
315	1.012	0.042	0.97	s_315	2045.3560434179697	129.00024954592845	10.998136285463943	7.011230046262985	11.086372646359251	10.904149723816325
326	0.724	0.038	0.6859999999999999	s_326	1313.1303275348282	70.75750517934854	10.358794394767441	6.144811276199597	10.434511298630294	10.278882460032916
322	0.616	0.042	0.574	s_322	1047.9860010635953	51.81733839243958	10.033403730229226	5.695363008000028	10.103029856996836	9.960246217408374
320	1.073	0.047	1.026	s_320	2200.9892433576492	142.26061705904587	11.10393637919074	7.152392516168455	11.19429508144309	11.00753795664501
321	NA	0.06	NA	s_321	NA	NA	NA	NA	NA	NA
327	0.541	0.037	0.504	s_327	888.3607557669241	41.15626642805106	9.795001851557648	5.36304020612684	9.860337475157687	9.72656642397014
2385	0.672	0.038	0.634	s_2385	1188.4913376051015	61.68001517393292	10.214915672805956	5.946731215058517	10.287910133839105	10.13803025005593
310	1.39	0.043	1.347	s_310	3176.7927303522397	230.662203791499	11.633355249234194	7.84963781377904	11.734478861217948	11.52460563419754
316	0.654	0.04	0.614	s_316	1141.2687790779285	58.319253154497034	10.156422883981946	5.865900339291538	10.228323318912807	10.08075028809134
317	2.544	0.055	2.489	s_317	8431.900464524086	797.5904478683735	13.041642121254736	9.639504321557665	13.172035357406125	12.898282057855646
323	1.302	0.041	1.2610000000000001	s_323	2900.367800237798	204.79699687755684	11.502020146948185	7.6780507497336234	11.600454121762267	11.396375089358218
2386	0.196	0.035	0.161	s_2386	165.85283920552524	5.029363037449103	7.373759899354208	2.330375696074057	7.416858334753098	7.329334208724005
319	2.572	0.057	2.515	s_319	8601.3133903578655	817.5370997168469	13.07034125576547	9.675140391165932	13.201335283623013	12.92625453164896
2199	1.126	0.04	1.0859999999999999	s_2199	2372.250666517498	157.14899587782276	11.212040746584258	7.295989243669495	11.304579295328999	11.11315720301863
2195	0.335	0.036	0.29900000000000004	s_2195	445.497337209072	15.713316277253547	8.799272998386686	3.9739157867762374	8.849282027903994	8.747468035148694
2068	0.273	0.035	0.23800000000000002	s_2068	320.21264922578	10.171102291381175	8.322886488930763	3.346404134371221	8.367998925617917	8.27631774572572
2197	0.384	0.038	0.34600000000000003	s_2197	543.9696597119193	20.699482124780413	9.087382376169767	4.371522768633353	9.1412619825326	9.031412228446143
2202	0.881	0.048	0.833	s_2202	1680.7618812377555	99.05995154765124	10.714899632620487	6.630230010206748	10.797517113594253	10.627262035500447
2197	0.386	0.037	0.34900000000000003	s_2197	550.3144668556611	21.036662619598133	9.104112445003114	4.394833940008972	9.158233830391087	9.047881344238762
2202	0.878	0.04	0.838	s_2202	1693.68244517432	100.09155339023727	10.725947688424151	6.645176421729063	10.80878241812482	10.63806559143807
2385	0.329	0.04	0.28900000000000003	s_2385	424.76735180158687	14.728388605746536	8.730529072668118	3.8805276924256753	8.779705372610989	8.679617195453275
2386	0.134	0.036	0.098	s_2386	42.24897852685261	2.0477545806901953	5.400844555996768	1.0340428215696746	5.469128398558403	5.329167520524863
311	1.242	0.044	1.198	s_311	2705.1297390984428	186.8963076824926	11.401482072601569	7.546094257302013	11.497864830516978	11.298196306693194
